id,full_name,owner,repo_name,html_url,created_at,updated_at,pushed_at,size,language,forks_count,stargazers_count,watchers_count,has_issues,archived,disabled,fork,num_contributors,sbom_flag,exclusion_reason,num_commits,num_buggy_commits,lifetime_days,num_languages,num_stars,main_language,num_files,num_methods,num_buggy_files,num_buggy_methods,num_bugs
193,apache#tinkerpop,apache,tinkerpop,https://github.com/apache/tinkerpop,2015-02-07T08:00:05Z,2025-05-28T22:30:31Z,2025-06-01T14:52:13Z,241402,Java,825,2041,2041,False,False,False,False,196,True,,21206,4339,4293,9,2041,Java,2389,40712,22171,29492,3165
194,apache#cordova-plugin-camera,apache,cordova-plugin-camera,https://github.com/apache/cordova-plugin-camera,2013-06-22T07:00:13Z,2025-05-29T15:25:23Z,2025-03-20T19:13:03Z,1857,Objective-C,1562,968,968,True,False,False,False,96,True,,740,522,4370,2,968,Java,12,637,140,336,0
195,apache#datafusion,apache,datafusion,https://github.com/apache/datafusion,2021-04-17T15:40:23Z,2025-06-02T11:43:13Z,2025-06-02T11:33:12Z,410056,Rust,1501,7275,7275,True,False,False,False,417,True,,10682,10581,3408,5,7275,Rust,1376,16392,5761,16392,0
196,apache#shardingsphere,apache,shardingsphere,https://github.com/apache/shardingsphere,2016-01-18T12:49:26Z,2025-06-02T13:36:51Z,2025-06-02T13:36:42Z,318883,Java,6814,20256,20256,True,False,False,False,318,True,,45944,27711,3427,3,20256,Java,7658,118003,117572,102229,0
197,apache#cassandra-ccm,apache,cassandra-ccm,https://github.com/apache/cassandra-ccm,2011-03-01T09:42:18Z,2025-05-28T21:41:23Z,2025-05-28T19:04:49Z,7469,Python,304,1230,1230,True,False,False,False,102,True,,1341,507,5220,2,1230,Python,28,468,52,431,0
198,apache#incubator-xtable,apache,incubator-xtable,https://github.com/apache/incubator-xtable,2023-07-21T19:07:10Z,2025-06-01T21:05:02Z,2025-05-31T18:22:45Z,37954,Java,174,1057,1057,True,False,False,False,35,True,,332,198,679,2,1057,Java,292,1993,668,1330,0
199,apache#knox,apache,knox,https://github.com/apache/knox,2014-03-01T08:00:06Z,2025-05-30T19:24:30Z,2025-05-30T19:24:26Z,163293,Java,261,198,198,False,False,False,False,81,True,,2976,2570,4606,7,198,Java,1834,15268,5207,14385,3152
200,apache#accumulo,apache,accumulo,https://github.com/apache/accumulo,2011-10-06T07:00:09Z,2025-06-02T12:08:45Z,2025-06-02T14:19:07Z,461173,Java,462,1098,1098,True,False,False,False,155,True,,14208,9777,4993,5,1098,Java,2328,73630,9778,73238,4745
201,apache#maven-jar-plugin,apache,maven-jar-plugin,https://github.com/apache/maven-jar-plugin,2017-12-09T15:09:23Z,2025-06-02T04:37:15Z,2025-06-02T04:37:47Z,1266,Java,79,78,78,True,False,False,False,36,True,,584,203,7748,2,78,Java,73,224,315,205,0
202,apache#flink-shaded,apache,flink-shaded,https://github.com/apache/flink-shaded,2017-06-22T07:00:07Z,2025-04-15T11:40:12Z,2025-03-04T12:49:01Z,0,Shell,127,137,137,True,False,False,False,20,True,,184,125,2805,0,137,Unknown,0,0,89,0,0
203,apache#flink-connector-aws,apache,flink-connector-aws,https://github.com/apache/flink-connector-aws,2022-07-27T14:55:32Z,2025-05-22T01:23:04Z,2025-05-28T07:52:01Z,50738,Java,66,70,70,False,False,False,False,29,True,,190,145,980,3,70,Java,457,3435,1011,3396,0
204,apache#grails-quartz,apache,grails-quartz,https://github.com/apache/grails-quartz,2012-05-24T07:23:50Z,2025-05-22T08:44:19Z,2025-04-14T15:34:42Z,1674,Groovy,94,78,78,True,False,False,False,44,True,,553,136,6552,2,78,Groovy,30,710,220,130,0
205,apache#jspwiki,apache,jspwiki,https://github.com/apache/jspwiki,2009-03-27T15:41:58Z,2025-05-10T10:57:46Z,2025-05-12T04:32:29Z,75018,Java,100,108,108,False,False,False,False,17,True,,9434,977,8708,3,108,Java,848,11443,5186,7262,1084
206,apache#ranger,apache,ranger,https://github.com/apache/ranger,2014-07-27T07:00:08Z,2025-05-31T17:30:23Z,2025-06-02T11:35:31Z,400175,Java,1017,960,960,False,False,False,False,147,True,,5018,4555,3947,7,960,Java,2166,30031,5400,28738,5213
207,apache#groovy,apache,groovy,https://github.com/apache/groovy,2015-04-16T07:00:05Z,2025-06-02T11:28:04Z,2025-06-02T07:18:21Z,443217,Java,1914,5314,5314,False,False,False,False,357,True,,21621,9077,7950,3,5314,Groovy,4508,32570,6909,27309,11441
208,apache#asterixdb,apache,asterixdb,https://github.com/apache/asterixdb,2015-03-10T19:06:29Z,2025-06-01T15:06:37Z,2025-06-01T15:01:46Z,554552,Java,144,291,291,False,False,False,False,75,True,,10130,2033,5466,7,291,Java,6802,69802,47979,45622,3611
