id,full_name,owner,repo_name,html_url,created_at,updated_at,pushed_at,size,language,forks_count,stargazers_count,watchers_count,has_issues,archived,disabled,fork,num_contributors,sbom_flag,exclusion_reason,num_commits,num_buggy_commits,lifetime_days,num_languages,num_stars,main_language,num_files,num_methods,num_buggy_files,num_buggy_methods,num_bugs
263,apache#brooklyn,apache,brooklyn,https://github.com/apache/brooklyn,2015-12-02T08:00:06Z,2025-05-27T17:45:00Z,2025-05-27T17:44:55Z,0,Dockerfile,67,139,139,False,False,False,False,28,True,,241,51,5100,0,139,Unknown,0,0,3,0,633
264,apache#ratis,apache,ratis,https://github.com/apache/ratis,2017-01-31T08:00:07Z,2025-06-01T12:20:37Z,2025-05-25T15:38:05Z,64229,Java,429,1380,1380,False,False,False,False,104,True,,1848,1567,3346,2,1380,Java,662,10762,1352,9528,2285
265,apache#openjpa,apache,openjpa,https://github.com/apache/openjpa,2009-05-21T01:13:25Z,2025-05-24T06:12:48Z,2025-05-15T14:39:28Z,466809,Java,143,142,142,False,False,False,False,20,True,,5385,3582,6939,5,142,Java,4779,45885,5828,42925,2936
266,apache#lucene,apache,lucene,https://github.com/apache/lucene,2021-02-23T17:16:56Z,2025-06-01T12:59:12Z,2025-06-02T00:06:55Z,911598,Java,1148,2996,2996,True,False,False,False,316,True,,38242,26253,8668,6,2996,Java,5840,148543,41973,144567,13
267,apache#orc,apache,orc,https://github.com/apache/orc,2015-05-06T07:00:05Z,2025-05-29T02:42:09Z,2025-06-02T13:45:55Z,117938,Java,491,728,728,True,False,False,False,132,True,,1918,1688,3679,5,728,Java,508,18091,3503,18073,1903
268,apache#dubbo-admin,apache,dubbo-admin,https://github.com/apache/dubbo-admin,2018-01-11T05:30:17Z,2025-05-28T15:41:20Z,2025-05-07T01:40:19Z,13260,Java,2158,4018,4018,True,False,False,False,77,True,,665,295,2672,3,4018,Java,221,2882,1406,2026,0
269,apache#rocketmq-externals,apache,rocketmq-externals,https://github.com/apache/rocketmq-externals,2017-03-14T07:00:06Z,2025-05-27T06:24:46Z,2024-12-09T09:00:27Z,1104480,Java,3064,4601,4601,True,False,False,False,109,True,,1006,355,2893,8,4601,Go,4197,27472,6759,24737,0
270,apache#maven-plugin-tools,apache,maven-plugin-tools,https://github.com/apache/maven-plugin-tools,2009-05-21T08:41:42Z,2025-05-05T19:29:13Z,2025-05-27T19:02:38Z,59115,Java,61,59,59,True,False,False,False,40,True,,1349,546,6428,3,59,JavaScript,263,2500,943,2335,0
271,apache#mynewt-nimble,apache,mynewt-nimble,https://github.com/apache/mynewt-nimble,2017-12-04T19:34:47Z,2025-06-01T23:17:58Z,2025-05-23T11:04:06Z,164449,C,433,784,784,True,False,False,False,109,True,,5369,746,3514,4,784,C,369,8609,272,4388,0
272,apache#struts,apache,struts,https://github.com/apache/struts,2014-01-15T08:00:08Z,2025-05-27T13:19:16Z,2025-06-02T01:40:01Z,165212,Java,821,1313,1313,False,False,False,False,76,True,,7953,4906,7019,2,1313,Java,2223,29238,11927,26702,5479
273,apache#openwebbeans-meecrowave,apache,openwebbeans-meecrowave,https://github.com/apache/openwebbeans-meecrowave,2016-12-10T08:00:06Z,2025-04-11T15:34:46Z,2024-12-13T21:02:40Z,21148,Java,29,57,57,False,False,False,False,10,True,,732,350,2978,3,57,Java,247,2875,368,2275,0
274,apache#incubator-seata,apache,incubator-seata,https://github.com/apache/incubator-seata,2018-12-28T08:37:22Z,2025-06-01T11:08:18Z,2025-05-30T14:07:34Z,235477,Java,8828,25648,25648,True,False,False,False,338,True,,2244,2172,2340,7,25648,Java,2506,25057,7001,24996,0
275,apache#bookkeeper,apache,bookkeeper,https://github.com/apache/bookkeeper,2011-04-06T07:00:07Z,2025-06-01T11:08:42Z,2025-05-30T17:42:38Z,288362,Java,955,1942,1942,True,False,False,False,202,True,,3582,3422,5181,7,1942,Java,2468,28212,7641,27664,1095
276,apache#ofbiz-plugins,apache,ofbiz-plugins,https://github.com/apache/ofbiz-plugins,2017-03-05T08:00:07Z,2025-05-28T05:43:10Z,2025-05-11T11:53:15Z,42705,Java,176,152,152,False,False,False,False,42,True,,4568,1908,6749,5,152,Java,339,6678,5953,5615,0
277,apache#airflow-client-python,apache,airflow-client-python,https://github.com/apache/airflow-client-python,2020-06-28T11:20:41Z,2025-05-29T22:25:18Z,2025-05-27T10:42:32Z,34003,Python,57,401,401,True,False,False,False,17,True,,80,76,1789,1,401,Python,323,1016,1408,1016,0
278,apache#camel-kamelets,apache,camel-kamelets,https://github.com/apache/camel-kamelets,2020-11-26T09:11:43Z,2025-06-01T14:47:08Z,2025-06-01T14:48:43Z,2658,Java,85,57,57,True,False,False,False,45,True,,4084,598,1648,4,57,Go,35,593,2017,313,0
279,apache#tapestry-5,apache,tapestry-5,https://github.com/apache/tapestry-5,2012-05-23T07:00:11Z,2025-05-29T08:52:52Z,2025-05-29T08:52:48Z,331112,Java,95,125,125,False,False,False,False,39,True,,5836,3300,6610,6,125,Java,3788,26982,9482,25314,2806
280,apache#jena,apache,jena,https://github.com/apache/jena,2013-01-04T08:00:32Z,2025-06-02T08:26:53Z,2025-06-02T08:26:57Z,678604,Java,664,1174,1174,True,False,False,False,105,True,,12181,4456,4775,7,1174,Java,6806,85889,24427,70052,2352
281,apache#shenyu,apache,shenyu,https://github.com/apache/shenyu,2018-07-11T08:17:45Z,2025-05-29T03:22:05Z,2025-06-01T13:04:40Z,196670,Java,2978,8582,8582,True,False,False,False,377,True,,3591,3048,2510,6,8582,Java,3011,24860,8567,23664,0
282,apache#incubator-livy,apache,incubator-livy,https://github.com/apache/incubator-livy,2017-06-25T07:00:09Z,2025-05-30T23:29:04Z,2025-05-20T10:26:33Z,32189,Scala,609,913,913,True,False,False,False,74,True,,525,472,3472,7,913,Scala,301,2177,823,2039,915
283,apache#servicecomb-java-chassis,apache,servicecomb-java-chassis,https://github.com/apache/servicecomb-java-chassis,2017-05-18T09:29:30Z,2025-05-30T02:46:27Z,2025-06-01T07:41:03Z,132821,Java,822,1923,1923,True,False,False,False,139,True,,4552,4152,2940,1,1923,Java,2607,27649,11563,27454,0
284,apache#rocketmq-clients,apache,rocketmq-clients,https://github.com/apache/rocketmq-clients,2022-06-17T07:53:53Z,2025-05-30T03:41:10Z,2025-05-29T03:05:18Z,74571,Java,242,396,396,True,False,False,False,51,True,,1241,466,1530,8,396,C++,813,17542,2850,9583,0
285,apache#phoenix-omid,apache,phoenix-omid,https://github.com/apache/phoenix-omid,2016-04-14T07:00:06Z,2025-05-05T15:07:32Z,2025-05-05T15:07:28Z,25387,Java,62,88,88,False,False,False,False,25,True,,1397,356,4933,1,88,Java,241,4288,413,2368,0
286,apache#pekko-http,apache,pekko-http,https://github.com/apache/pekko-http,2022-10-31T08:43:27Z,2025-06-01T08:26:49Z,2025-06-01T08:26:50Z,92822,Scala,44,168,168,True,False,False,False,314,True,,4763,3309,5954,2,168,Scala,1047,4324,5809,4061,0
287,apache#rocketmq-operator,apache,rocketmq-operator,https://github.com/apache/rocketmq-operator,2019-06-03T06:01:27Z,2025-05-31T00:58:58Z,2025-01-14T05:56:29Z,2659,Go,130,320,320,True,False,False,False,18,True,,204,60,2051,1,320,Go,19,93,78,40,0
288,apache#phoenix-connectors,apache,phoenix-connectors,https://github.com/apache/phoenix-connectors,2018-12-18T01:41:28Z,2025-06-02T07:34:50Z,2025-06-02T07:34:46Z,25842,Java,62,54,54,False,False,False,False,20,True,,130,125,2327,3,54,Java,225,1417,731,1360,0
289,apache#commons-io,apache,commons-io,https://github.com/apache/commons-io,2009-05-21T01:38:37Z,2025-05-28T08:26:59Z,2025-05-24T00:53:10Z,57788,Java,689,1032,1032,False,False,False,False,110,True,,5628,1501,8532,1,1032,Java,541,8727,749,6169,861
290,apache#avro-rs,apache,avro-rs,https://github.com/apache/avro-rs,2024-09-23T11:00:00Z,2025-05-30T21:10:25Z,2025-05-30T21:10:23Z,30116,Rust,25,60,60,True,False,False,False,53,True,,853,800,1473,1,60,Rust,51,974,106,974,0
291,apache#commons-validator,apache,commons-validator,https://github.com/apache/commons-validator,2010-09-26T07:00:19Z,2025-05-31T00:29:00Z,2025-05-31T00:29:50Z,17042,Java,162,213,213,False,False,False,False,38,True,,2613,553,8545,1,213,Java,162,1763,188,1020,498
292,apache#arrow-nanoarrow,apache,arrow-nanoarrow,https://github.com/apache/arrow-nanoarrow,2022-07-07T13:08:51Z,2025-06-01T16:46:46Z,2025-06-01T04:09:05Z,46174,C,44,188,188,True,False,False,False,26,True,,632,513,1060,4,188,C++,179,2948,744,2948,0
293,apache#mynewt-newt,apache,mynewt-newt,https://github.com/apache/mynewt-newt,2015-10-29T07:00:07Z,2025-06-02T07:09:49Z,2025-06-02T07:09:44Z,28973,Go,97,121,121,True,False,False,False,38,True,,1703,321,3621,2,121,Go,109,7191,276,2018,0
294,apache#dubbo-go,apache,dubbo-go,https://github.com/apache/dubbo-go,2018-08-08T05:30:36Z,2025-05-31T14:09:51Z,2025-06-02T03:42:41Z,81284,Go,951,4801,4801,True,False,False,False,188,True,,9084,2167,2474,1,4801,Go,803,8029,1877,5108,0
295,apache#shiro,apache,shiro,https://github.com/apache/shiro,2009-08-29T08:00:17Z,2025-06-02T02:00:05Z,2025-05-30T21:07:43Z,50334,Java,2315,4376,4376,True,False,False,False,67,True,,4057,1753,7266,2,4376,Java,954,8359,3311,6434,904
296,apache#answer,apache,answer,https://github.com/apache/answer,2022-09-29T05:16:19Z,2025-06-02T10:48:27Z,2025-05-30T03:22:08Z,88918,Go,1166,14462,14462,True,False,False,False,88,True,,5299,422,983,3,14462,Go,780,2293,725,1614,0
297,apache#airflow,apache,airflow,https://github.com/apache/airflow,2015-04-13T18:04:58Z,2025-06-02T14:13:45Z,2025-06-02T14:13:39Z,809393,Python,15104,40363,40363,True,False,False,False,414,True,,30784,28289,3895,7,40363,Python,6521,37009,34819,36042,0
298,apache#commons-pool,apache,commons-pool,https://github.com/apache/commons-pool,2013-07-08T07:00:28Z,2025-05-21T11:21:02Z,2025-05-24T23:35:03Z,16398,Java,293,532,532,False,False,False,False,45,True,,3128,768,8818,1,532,Java,124,3477,228,2443,401
299,apache#pekko-samples,apache,pekko-samples,https://github.com/apache/pekko-samples,2022-10-31T08:51:29Z,2025-05-20T15:05:57Z,2025-03-09T01:17:43Z,8936,Scala,27,56,56,True,False,False,False,38,True,,436,276,5134,2,56,Scala,139,1068,932,805,0
300,apache#incubator-nlpcraft,apache,incubator-nlpcraft,https://github.com/apache/incubator-nlpcraft,2020-03-01T09:10:50Z,2025-05-22T07:50:41Z,2025-05-22T07:50:37Z,13975,Scala,25,80,80,False,False,False,False,12,True,,2722,579,1905,3,80,Scala,186,5572,2531,3354,526
301,apache#commons-numbers,apache,commons-numbers,https://github.com/apache/commons-numbers,2016-10-26T07:00:06Z,2025-05-30T12:01:17Z,2025-05-30T12:02:11Z,59239,Java,60,74,74,False,False,False,False,25,True,,1570,406,3075,2,74,Java,274,4730,495,4079,204
302,apache#iotdb-client-go,apache,iotdb-client-go,https://github.com/apache/iotdb-client-go,2020-12-05T12:47:33Z,2025-05-09T03:20:20Z,2025-05-30T08:06:44Z,48703,Go,34,64,64,True,False,False,False,20,True,,88,77,1599,1,64,Go,32,1176,53,1120,0
303,apache#qpid-dispatch,apache,qpid-dispatch,https://github.com/apache/qpid-dispatch,2014-02-05T08:00:07Z,2025-03-19T18:27:25Z,2025-04-16T15:26:16Z,109487,Python,87,66,66,False,False,False,False,24,True,,3510,2911,4164,5,66,Python,386,15923,2696,15912,139
304,apache#inlong,apache,inlong,https://github.com/apache/inlong,2020-01-03T07:13:14Z,2025-05-30T08:50:29Z,2025-05-30T08:50:24Z,552973,Java,534,1436,1436,True,False,False,False,177,True,,5132,5078,2094,9,1436,Java,5827,36798,15680,36349,801
305,apache#calcite,apache,calcite,https://github.com/apache/calcite,2014-06-25T07:00:07Z,2025-06-02T06:51:22Z,2025-05-31T03:30:16Z,456422,Java,2412,4850,4850,False,False,False,False,327,True,,6174,4140,4786,6,4850,Java,2580,46817,5238,43038,7039
306,apache#kvrocks,apache,kvrocks,https://github.com/apache/kvrocks,2019-08-15T06:04:51Z,2025-06-01T22:01:03Z,2025-06-01T09:11:58Z,71555,C++,534,3895,3895,True,False,False,False,144,True,,1916,1592,2121,5,3895,C++,235,5236,803,5115,0
307,apache#datasketches-memory,apache,datasketches-memory,https://github.com/apache/datasketches-memory,2017-03-16T20:51:54Z,2025-04-19T04:35:56Z,2025-05-12T23:06:29Z,9449,Java,33,125,125,True,False,False,False,11,True,,1097,149,2955,1,125,Java,57,2745,42,354,0
308,apache#kylin,apache,kylin,https://github.com/apache/kylin,2015-01-03T08:00:05Z,2025-05-30T07:11:59Z,2025-04-07T06:28:44Z,504415,Java,1528,3709,3709,False,False,False,False,60,True,,938,811,975,4,3709,Java,6281,35890,22607,35844,5914
309,apache#commons-beanutils,apache,commons-beanutils,https://github.com/apache/commons-beanutils,2013-06-12T07:00:16Z,2025-06-02T05:33:23Z,2025-05-31T00:05:05Z,25691,Java,217,294,294,False,False,False,False,33,True,,2218,647,8830,1,294,Java,293,4789,882,3425,574
310,apache#trafficcontrol,apache,trafficcontrol,https://github.com/apache/trafficcontrol,2016-09-02T07:00:06Z,2025-06-02T11:28:05Z,2025-06-01T14:03:51Z,572537,Go,347,1136,1136,True,False,False,False,144,True,,12930,5223,3693,10,1136,Go,4180,37580,16192,28458,0
311,apache#tez,apache,tez,https://github.com/apache/tez,2013-04-08T07:20:23Z,2025-05-30T06:09:01Z,2025-05-30T06:08:57Z,216808,Java,431,494,494,False,False,False,False,82,True,,3045,2978,4463,3,494,Java,1622,18805,3635,17306,4614
312,apache#ozone,apache,ozone,https://github.com/apache/ozone,2019-10-02T15:56:19Z,2025-06-02T13:04:06Z,2025-06-02T13:04:02Z,538504,Java,538,925,925,False,False,False,False,237,True,,9108,9018,2639,7,925,Java,4297,49822,9371,49806,13127
313,apache#maven-enforcer,apache,maven-enforcer,https://github.com/apache/maven-enforcer,2009-05-21T00:59:40Z,2025-05-12T18:43:47Z,2025-05-12T18:44:28Z,9504,Java,160,153,153,True,False,False,False,67,True,,922,435,6463,2,153,Java,188,1474,803,1439,0
314,apache#spark,apache,spark,https://github.com/apache/spark,2014-02-25T08:00:08Z,2025-06-02T13:27:08Z,2025-06-02T05:20:09Z,1553203,Scala,28580,41215,41215,False,False,False,False,334,True,,44563,39250,5547,10,41215,Scala,8662,49791,41801,48396,52003
315,apache#mahout,apache,mahout,https://github.com/apache/mahout,2014-05-23T07:00:07Z,2025-06-01T06:16:48Z,2025-05-23T13:58:31Z,6129,HTML,957,2167,2167,True,False,False,False,49,True,,4782,2172,6338,4,2167,JavaScript,22,19545,8211,18288,2198
316,apache#incubator-baremaps,apache,incubator-baremaps,https://github.com/apache/incubator-baremaps,2019-01-07T21:16:01Z,2025-06-01T16:18:03Z,2025-05-24T13:17:01Z,53054,Java,68,540,540,True,False,False,False,27,True,,1538,448,2327,5,540,Java,665,8744,5847,6422,0
317,apache#doris-operator,apache,doris-operator,https://github.com/apache/doris-operator,2023-07-05T03:25:30Z,2025-05-26T02:40:54Z,2025-05-26T02:40:49Z,14920,Go,54,109,109,True,False,False,False,15,True,,803,259,699,1,109,Go,156,780,189,458,0
318,apache#streampark,apache,streampark,https://github.com/apache/streampark,2019-05-27T05:56:03Z,2025-05-30T04:08:39Z,2025-05-28T12:16:57Z,92573,Java,1035,4069,4069,True,False,False,False,153,True,,1999,1798,1473,5,4069,Java,1292,7846,6804,7670,0
319,apache#incubator-toree,apache,incubator-toree,https://github.com/apache/incubator-toree,2016-01-07T08:00:06Z,2025-05-23T20:27:17Z,2025-05-06T19:49:28Z,22181,Scala,225,743,743,False,False,False,False,39,True,,1183,200,3945,4,743,Scala,411,874,374,429,563
320,apache#datafu,apache,datafu,https://github.com/apache/datafu,2014-01-14T08:00:07Z,2025-05-20T11:32:03Z,2025-05-20T11:32:00Z,29263,Java,65,120,120,False,False,False,False,28,True,,637,194,4988,6,120,Java,291,1845,1696,1618,181
321,apache#storm,apache,storm,https://github.com/apache/storm,2013-11-05T08:00:14Z,2025-06-02T11:28:03Z,2025-06-02T05:29:28Z,333378,Java,4069,6628,6628,True,False,False,False,279,True,,11069,5951,5011,8,6628,Java,2217,35958,6991,33524,4100
322,apache#carbondata,apache,carbondata,https://github.com/apache/carbondata,2016-06-28T07:00:06Z,2025-04-07T08:58:57Z,2025-03-31T23:27:30Z,349995,Scala,704,1435,1435,True,False,False,False,174,True,,5030,3932,3316,6,1435,Scala,2051,34424,6991,25949,4347
323,apache#cordova-lib,apache,cordova-lib,https://github.com/apache/cordova-lib,2014-05-07T07:00:06Z,2025-05-26T02:24:53Z,2024-12-17T05:01:01Z,9131,JavaScript,246,223,223,True,False,False,False,137,True,,3575,1729,4716,4,223,JavaScript,169,9450,7132,5036,0
324,apache#cordova-plugin-device,apache,cordova-plugin-device,https://github.com/apache/cordova-plugin-device,2013-06-22T07:00:15Z,2025-05-12T18:03:02Z,2025-05-06T13:49:14Z,264,JavaScript,427,390,390,True,False,False,False,56,True,,346,189,4416,2,390,JavaScript,5,355,74,72,0
325,apache#hudi,apache,hudi,https://github.com/apache/hudi,2016-12-14T15:53:41Z,2025-06-01T21:05:09Z,2025-06-02T00:58:56Z,469220,Java,2405,5809,5809,True,False,False,False,374,True,,6418,5914,3093,6,5809,Java,3721,33732,7916,32973,9460
326,apache#arrow-adbc,apache,arrow-adbc,https://github.com/apache/arrow-adbc,2022-06-01T15:08:49Z,2025-05-29T21:39:27Z,2025-05-28T23:58:39Z,325061,C#,127,452,452,True,False,False,False,70,True,,1682,1668,1100,12,452,C,871,8694,2001,8694,0
327,apache#activemq-cpp,apache,activemq-cpp,https://github.com/apache/activemq-cpp,2009-09-07T08:00:40Z,2025-05-09T07:56:41Z,2025-03-06T18:37:38Z,140391,C++,63,101,101,False,False,False,False,4,True,,3212,1597,4523,3,101,C++,1080,23896,6311,16396,661
328,apache#hamilton,apache,hamilton,https://github.com/apache/hamilton,2023-02-23T17:16:48Z,2025-05-30T22:13:38Z,2025-05-30T00:56:19Z,102714,Jupyter Notebook,146,2148,2148,True,False,False,False,65,True,,1754,312,2132,4,2148,Python,1068,4520,1642,3551,0
329,apache#wicket,apache,wicket,https://github.com/apache/wicket,2009-05-21T01:51:51Z,2025-06-01T23:04:48Z,2025-06-01T23:04:43Z,256963,Java,392,763,763,False,False,False,False,113,True,,21950,7395,7559,3,763,Java,3409,42087,19121,31671,7149
330,apache#commons-csv,apache,commons-csv,https://github.com/apache/commons-csv,2013-06-12T07:00:17Z,2025-05-23T07:43:25Z,2025-05-20T20:35:39Z,10300,Java,279,389,389,False,False,False,False,45,True,,2908,799,7111,1,389,Java,51,1575,136,1283,315
331,apache#datasketches-postgresql,apache,datasketches-postgresql,https://github.com/apache/datasketches-postgresql,2018-11-01T17:48:27Z,2025-01-17T18:57:19Z,2025-01-17T18:57:20Z,8532,C,12,86,86,True,False,False,False,6,True,,264,58,2269,3,86,SQL,45,331,4,14,0
332,apache#impala,apache,impala,https://github.com/apache/impala,2016-04-13T07:00:08Z,2025-06-02T06:47:02Z,2025-06-02T06:46:56Z,640765,C++,528,1217,1217,False,False,False,False,174,True,,12048,8665,5127,7,1217,C++,2606,57747,9146,53227,14086
333,apache#commons-text,apache,commons-text,https://github.com/apache/commons-text,2014-11-10T08:00:07Z,2025-05-30T20:52:41Z,2025-05-30T20:52:42Z,27785,Java,264,362,362,False,False,False,False,57,True,,2444,864,3853,1,362,Java,209,3105,369,2584,225
334,apache#maven-indexer,apache,maven-indexer,https://github.com/apache/maven-indexer,2014-04-22T07:00:07Z,2025-06-01T05:45:55Z,2025-05-30T19:49:23Z,21810,Java,63,67,67,True,False,False,False,30,True,,664,236,5321,1,67,Java,286,1790,545,1714,0
335,apache#datafusion-ballista,apache,datafusion-ballista,https://github.com/apache/datafusion-ballista,2022-05-19T14:32:27Z,2025-06-01T17:27:42Z,2025-06-01T09:37:34Z,28921,Rust,219,1763,1763,True,False,False,False,309,True,,4437,4336,3403,5,1763,Rust,142,6439,3550,6439,0
336,apache#arrow-rs,apache,arrow-rs,https://github.com/apache/arrow-rs,2021-04-17T15:40:05Z,2025-06-02T12:33:43Z,2025-06-02T12:36:08Z,219134,Rust,935,2962,2962,True,False,False,False,414,True,,6518,6413,3408,3,2962,Rust,514,9874,2890,9874,0
337,apache#parquet-java,apache,parquet-java,https://github.com/apache/parquet-java,2014-06-10T07:00:07Z,2025-05-30T15:50:58Z,2025-06-01T02:09:50Z,132739,Java,1463,2828,2828,True,False,False,False,235,True,,2781,1406,4660,2,2828,Java,870,12761,1875,10849,2485
338,apache#iceberg-rust,apache,iceberg-rust,https://github.com/apache/iceberg-rust,2023-07-21T06:16:00Z,2025-06-02T12:00:00Z,2025-06-01T12:53:40Z,70436,Rust,266,964,964,True,False,False,False,94,True,,708,706,686,2,964,Rust,179,2051,361,2051,0
339,apache#openwhisk,apache,openwhisk,https://github.com/apache/openwhisk,2016-02-18T21:16:19Z,2025-06-02T11:28:04Z,2025-06-01T17:31:50Z,97027,Scala,1176,6649,6649,True,False,False,False,189,True,,3101,2049,3389,9,6649,Scala,667,3111,2289,2730,0
340,apache#groovy-geb,apache,groovy-geb,https://github.com/apache/groovy-geb,2010-08-03T03:58:46Z,2025-05-31T19:13:46Z,2025-05-21T14:19:40Z,30429,Groovy,237,1153,1153,True,False,False,False,67,True,,3050,774,5674,3,1153,Groovy,632,1165,1352,382,0
341,apache#apisix-helm-chart,apache,apisix-helm-chart,https://github.com/apache/apisix-helm-chart,2020-06-19T02:06:59Z,2025-06-02T13:02:08Z,2025-06-02T13:02:04Z,0,Smarty,232,243,243,True,False,False,False,90,True,,320,318,1812,0,243,Unknown,0,0,151,0,0
342,apache#servicecomb-kie,apache,servicecomb-kie,https://github.com/apache/servicecomb-kie,2019-04-29T02:19:15Z,2025-05-07T01:06:30Z,2025-05-11T07:34:46Z,8296,Go,68,544,544,True,False,False,False,21,True,,216,191,1760,3,544,Go,88,415,318,412,0
343,apache#commons-geometry,apache,commons-geometry,https://github.com/apache/commons-geometry,2018-04-02T10:19:46Z,2025-05-23T21:07:08Z,2025-05-23T21:07:12Z,74896,Java,28,54,54,False,False,False,False,13,True,,722,295,2617,1,54,Java,482,9786,867,9706,150
344,apache#skywalking-banyandb,apache,skywalking-banyandb,https://github.com/apache/skywalking-banyandb,2021-03-26T02:26:42Z,2025-05-30T14:51:07Z,2025-05-30T12:56:28Z,75718,Go,99,303,303,False,False,False,False,38,True,,690,586,1528,2,303,Go,499,3867,2237,3442,0
345,apache#echarts-examples,apache,echarts-examples,https://github.com/apache/echarts-examples,2016-11-23T09:28:32Z,2025-05-06T14:45:05Z,2025-05-23T16:27:21Z,58930,TypeScript,241,380,380,True,False,False,False,22,True,,1036,83,3024,2,380,JavaScript,472,9315,78,95,0
346,apache#dubbo-spi-extensions,apache,dubbo-spi-extensions,https://github.com/apache/dubbo-spi-extensions,2020-05-14T15:51:35Z,2025-05-30T13:17:52Z,2025-06-02T08:16:17Z,66111,Java,115,199,199,True,False,False,False,37,True,,618,402,1838,2,199,Java,936,8497,1907,4949,0
347,apache#maven-dependency-plugin,apache,maven-dependency-plugin,https://github.com/apache/maven-dependency-plugin,2017-12-09T15:05:59Z,2025-05-30T17:39:37Z,2025-05-30T17:39:34Z,13558,Java,181,159,159,True,False,False,False,68,True,,1396,639,6996,2,159,Java,177,1711,906,1640,0
348,apache#echarts-website,apache,echarts-website,https://github.com/apache/echarts-website,2018-05-31T02:51:42Z,2025-05-16T07:33:51Z,2025-04-11T07:33:10Z,4787339,JavaScript,313,152,152,False,False,False,False,11,True,,544,5,2506,3,152,JavaScript,7759,20333,1,3,0
349,apache#incubator-kie-drools,apache,incubator-kie-drools,https://github.com/apache/incubator-kie-drools,2011-02-18T08:37:05Z,2025-05-30T08:21:19Z,2025-06-01T04:24:35Z,843520,Java,2538,6031,6031,True,False,False,False,227,True,,17505,10883,7120,3,6031,Java,8753,123524,39024,117289,0
350,apache#incubator-teaclave-sgx-sdk,apache,incubator-teaclave-sgx-sdk,https://github.com/apache/incubator-teaclave-sgx-sdk,2017-04-27T05:43:24Z,2025-05-30T12:31:52Z,2025-05-07T08:42:03Z,112493,Rust,271,1200,1200,True,False,False,False,35,True,,651,127,2412,7,1200,Rust,636,15915,26,100,0
351,apache#datasketches-cpp,apache,datasketches-cpp,https://github.com/apache/datasketches-cpp,2018-05-14T23:06:58Z,2025-05-29T06:06:18Z,2025-05-28T06:42:37Z,11391,C++,70,233,233,True,False,False,False,22,True,,1885,376,2570,1,233,C++,86,3862,8,180,0
352,apache#singa,apache,singa,https://github.com/apache/singa,2015-04-02T07:00:05Z,2025-06-01T19:43:12Z,2025-05-13T10:18:23Z,73087,C++,1271,3440,3440,True,False,False,False,75,True,,2997,1678,3629,6,3440,Python,456,7920,1201,4199,572
353,apache#flink-connector-kafka,apache,flink-connector-kafka,https://github.com/apache/flink-connector-kafka,2022-11-22T14:01:46Z,2025-05-29T03:37:26Z,2025-05-21T13:06:11Z,31906,Java,151,151,151,False,False,False,False,158,True,,952,803,2653,2,151,Java,226,4005,688,4004,0
354,apache#pulsar-helm-chart,apache,pulsar-helm-chart,https://github.com/apache/pulsar-helm-chart,2020-04-14T05:15:14Z,2025-06-01T20:27:16Z,2025-05-30T15:16:04Z,84,Shell,240,223,223,True,False,False,False,109,True,,400,336,2530,1,223,Go,1,2,303,2,0
355,apache#subversion,apache,subversion,https://github.com/apache/subversion,2009-12-31T09:00:10Z,2025-06-01T11:39:36Z,2025-06-01T12:15:16Z,650585,C,180,598,598,False,False,False,False,36,True,,60943,3817,9223,9,598,C,1272,31819,1711,17101,4556
356,apache#logging-log4cxx,apache,logging-log4cxx,https://github.com/apache/logging-log4cxx,2017-04-09T07:00:07Z,2025-05-27T05:55:59Z,2025-05-22T04:02:02Z,44448,C++,127,284,284,True,False,False,False,34,True,,2652,1183,8017,3,284,C++,317,7699,3366,7048,559
357,apache#camel-k,apache,camel-k,https://github.com/apache/camel-k,2018-08-31T08:38:42Z,2025-05-30T14:52:10Z,2025-06-02T01:58:18Z,99217,Go,357,880,880,True,False,False,False,126,True,,7382,1571,2470,4,880,Go,918,27323,8390,21709,0
358,apache#tomcat,apache,tomcat,https://github.com/apache/tomcat,2011-10-01T07:00:19Z,2025-05-30T17:05:17Z,2025-05-29T19:16:27Z,364942,Java,5173,7840,7840,False,False,False,False,128,True,,27383,461,7010,2,7840,Java,2725,52652,1145,14993,3157
359,apache#httpd,apache,httpd,https://github.com/apache/httpd,2009-05-20T02:02:59Z,2025-05-31T01:17:03Z,2025-06-02T13:01:12Z,328792,C,1179,3702,3702,False,False,False,False,49,True,,34138,409,10565,10,3702,C,793,15044,1512,5867,2126
360,apache#cordova-ios,apache,cordova-ios,https://github.com/apache/cordova-ios,2012-11-28T08:00:23Z,2025-05-18T00:23:27Z,2025-05-18T00:23:23Z,16069,JavaScript,994,2187,2187,True,False,False,False,180,True,,4032,1564,6147,3,2187,JavaScript,101,6914,5017,4965,0
361,apache#commons-cli,apache,commons-cli,https://github.com/apache/commons-cli,2009-05-28T08:00:15Z,2025-06-01T21:06:13Z,2025-05-20T20:14:04Z,11358,Java,199,369,369,False,False,False,False,50,True,,1922,539,8396,2,369,Java,87,2466,210,1639,340
362,apache#polaris,apache,polaris,https://github.com/apache/polaris,2024-05-29T18:44:27Z,2025-06-02T13:27:47Z,2025-06-02T07:30:08Z,124083,Java,245,1512,1512,True,False,False,False,67,True,,1254,1248,372,6,1512,Java,1122,5960,3035,5960,0
